,Crime Category,Crime Notes
844,Criminal Damage,victim who is a taxi driver and suspect who is a passenger enter into an argument over the way in which the victim wants the fare to be paid . suspect becomes angry and kicks the causing damage .
845,Violent Crime,complainant is a taxi driver and is suspects in drink from locus when he asks for money up front due to of journey . suspect refuses this and hits complainant around mouth causing comp to have a cut mouth from and makes off from taxi .
846,Violent Crime,"victim is a taxi driver who is a fare back to her home address , an argument over found mobile phone to a friend of the suspect . at which time the suspect hits the victim on his arm causing no injuries . the suspect then alights from the taxi and says fucking paki bastard come out i you some . the suspect is returned home and the incident is to the police ."
847,Other Theft,"suspect ( s ) who are in drink enter vehicle and taxi driver gives them a , when destination the suspects make no attempt to pay and were shouting at taxi driver saying he know where he was going and is he in the before locus and not out to pay ."
848,Violent Crime,"the complainant is a taxi driver who picks up pre booked fare . his passengers change destination and become verbally aggressive towards him . complainant asks for payment upfront due to the behaviour , who become more . male passenger threatens to punch the out and him with an from his pocket , whilst the female passenger the complainant in his face . complainant for his safety and drives off when of the public come to . no payment is for his taxi service ."
849,Other Theft,"in a hackney taxi . upon the taxi , the complainant asks for with her from the driver , who . as the taxi driver removes the , he removes and items from open bag and make off with same ."
850,Violent Crime,victim has been assaulted by a taxi driver and from a whilst walking to get payment from a nearby cash machine for the taxi fare . this has in a small cut to the victims .
851,Other Theft,complainant is taxi driver who collects fare ( male suspect ) from outside centre at . suspect gets out of taxi at destination and goes into address without paying for the fare . suspects tells the taxi driver that he is going into the address to get some money to pay for the fare but does not return .
852,Other Theft,complainant is taxi driver and he picks up male who stated he wants to go some . complainant stops at a shop and male alights taxi and walks off . male does not return to the taxi and does not pay the fare .
853,Other Theft,he complainant is a taxi driver who picks his fare up from police station to take her to her home address . upon arriving at the address the suspect fails to pay the fare . several attempts are made to get suspect to pay for the fare but she fails to do so .
854,Violent Crime,"victim is taxi driver who is at work . minor verbal argument ensues over work , between victim and suspect who is a , who the . victim is in taxi office and suspect grabs victim by around neck . when doing this suspects hand makes contact with victims mouth , making small cut on inside of top lip . suspect then pushes victim into and victim his head . this causes small and pain . suspect then makes off on foot out of locus ."
855,Criminal Damage,"between times on date stated victim , who is a taxi driver , collects a fair of 3 , 1 male and 1 . they request to go to an location booked . taxi driver states this is , but will cost more money , and it will now cost around . one of the females as , states that this is but she does not have any money and requests to be taken to a cash machine . taxi driver drivers to cash machine at petrol station . ∂ú20 and gets back in the taxi , however she she does not to pay for the fare . an argument between the people collected for the taxi . states to taxi driver that she will not pay for the fare to the destination . driver states this is however he n't take them any further in a . this is agreed and he and the other passengers the vehicle when he notices the male as he was going to hit him . once he with the , taxi driver goes back towards his vehicle and a bottle is and on the rear of his taxi , causing two . in fear of his safety , taxi driver gets back in to his vehicle and the door . he then sees the male throw a bottle that hits the front drivers wing and door , causing damage to both . suspect/s make off and victim is however damage caused to vehicle . victim believes incident on ."
856,Other Theft,complainant leaves bag in taxi and taxi driver states he has it and will return it . he has not returned this and is not .
857,Other Theft,between times shown comp is working as taxi driver and picks up unknown males who in the rear of comps taxi . comp takes males to location and one male exits and returns a short while later . all 3 males are then to their pick up location and when dropped off 1 male exits stating he is going to go get the money for the fare . short time later male states he will go get the money also . a short time later the male the suspect states he is also going to leave to get the money however the comp the the vehicle and states he needs paying for the fare . at this point the suspect grabs the comp by the neck by both hands and punches the comp to the back of the head . the comp then opens the car doors again and the males return . at this point the suspect goes to leave the taxi and prior to doing so reaches over the middle of the comps vehicle and grabs comps which is to his windscreen and makes off with same in unknown direction .
858,Violent Crime,between times shown comp is working as taxi driver and picks up unknown males who in the rear of comps taxi . comp takes males to location and one male exits and returns a short while later . all 3 males are then to their pick up location and when dropped off 1 male exits stating he is going to go get the money for the fare . short time later male states he will go get the money also . a short time later the male the suspect states he is also going to leave to get the money however the comp the the vehicle and states he needs paying for the fare . at this point the suspect grabs the comp by the neck by both hands and punches the comp to the back of the head . the comp then opens the car doors again and the males return . at this point the suspect goes to leave the taxi and prior to doing so reaches over the middle of the comps vehicle and grabs comps which is to his windscreen and makes off with same in unknown direction .
859,Other Theft,between the times stated complainant is a taxi driver who picks up a fare at leeds train station . he drives the to station road where the makes off without paying the taxi driver . there are no witnesses no suspects no in the area .
860,Other Theft,"between times and date stated suspect enters taxi and journey to her home . taxi driver asks for payment once at , suspect refuses to pay and victims phone by it on the floor . suspect makes off without paying towards home ."
861,Violent Crime,the complainant is a taxi driver for . he collects his pre booked fare from the hotel in leeds city centre . two males enter his taxi in drink . he begins driving to the area when he is on the back of the head by one of the males . the second male is on the back seat . the complainant stops the vehicle and the suspect gets out and runs away . the complainant then drives his vehicle to police station to report the incident with the second male ( witness ) in the rear .
862,Other Theft,victim leaves property in taxi . it is believed taxi driver or next customer has stolen same and for own gain back to victim . suspect/s make off with same unseen .
863,Violent Crime,"complainant has been out with his friend , the witness , and another friend orders a taxi for the . once travelling in the taxi the complainant notices the taxi driver has taken a , he tries to the driver and a verbal altercation takes place between the . the taxi driver stops the car and orders the complainant to get out . once outside the car the taxi driver tells him to walk into an way where the driver assaults him causing him to fall to the floor . the driver then drives away leaving the complainant on the from his lip and a on the back of his head ."
864,Other Theft,victim is a taxi driver who collects a pre booked fare from an address and drives to another location . suspect taxi driver to drive around without a destination location . victim drives suspect to a police station where a between the two takes place before suspect leaves making no attempt to pay for fare .
865,Violent Crime,"- officers are out on when taxi driver pulls officers over , states that has not paid for his taxi . officers speak with who is heavily in drink . officers the male and on doing so , find a large knife in bag , arrested for and make off without payment ,"
866,Other Theft,comp is taxi driver who collects fare and take them to . when he pulls up two suspects alight from vehicle him in before and they could do him in . they then walk off into making no attempt to pay .
867,Violent Crime,"at time stated the complainant is at work , working as a taxi driver and is at locus . at this time suspect approaches the complainant and asks for a . male refuses and suspect punches complainant once to the face causing no injuries . suspect then makes off on foot into the nearby . complainant contacts the police ."
868,Other Theft,"complainant is a taxi driver working for , . victim picks suspect up and transports him to locus where he exits taxi failing to payment as ."
869,Other Theft,"on date stated victim and rp got a taxi from to take them home from victim∂®s where they had been . the rp sick and asked the taxi driver to stop but he did not . rp down the window and was sick out of the window and down the side of the taxi . there was a small amount of sick on the . taxi driver stops vehicle at locus and demands for the rp being sick the fare on top . victim explains that he has no money on him and uses a nearby cash machine and . the taxi driver begins with the rp as she is the amount is and both rp and victim walk away from the taxi driver . the taxi driver follows victim in his car and pulls up on the . the victim had his wallet in his hand , the taxi driver takes wallet out of his hand and removes from wallet and pushes victim causing no injury . victim takes wallet back ."
870,Robbery,"on date stated victim and rp got a taxi from to take them home from victim∂®s where they had been . the rp sick and asked the taxi driver to stop but he did not . rp down the window and was sick out of the window and down the side of the taxi . there was a small amount of sick on the . taxi driver stops vehicle at locus and demands for the rp being sick the fare on top . victim explains that he has no money on him and uses a nearby cash machine and . the taxi driver begins with the rp as she is the amount is and both rp and victim walk away from the taxi driver . the taxi driver follows victim in his car and pulls up on the . the victim had his wallet in his hand , the taxi driver pushes victim causing no injury then takes the wallet from the victim and removes the money . victim takes wallet back ."
871,Other Theft,"officers are out on when taxi driver pulls officers over , states that has not paid for his taxi . officers speak with who is heavily in drink . officers the male and on doing so , find a large knife in bag , arrested for and make off without payment ,"
872,Other Theft,victim has left bag in the rear of a taxi . taxi driver has then returned the bag to the victim but without the phone .
873,Other Theft,at time and date stated suspect phones for taxi from road police station . suspect is picked up and taken to road in where he then tells taxi driver he needs to go to get some money for the fare and will return in a few minutes . suspect does not return and makes off without paying .
874,Robbery,the person is a taxi driver between times stated the complainant is at work and picks a fare up from the street 3 males 1 female . he is requested to drive to the pub in kirkstall and back again . back at the locus the suspect asks the fare is . complainant tells him . suspect then punches complainant to the left side of the face . suspects then complainants money back in change and makes good his escape into nearby street
875,Other Theft,at times stated complainant picks up male and female suspects from the pub in . he drives them around the area where they make three different stop at before going to address where they make no attempt to pay the taxi driver and go into a nearby house . taxi waits but after they do not come back he reports incident at police station .
876,Other Theft,"complainant is a taxi driver collects a fare and drop same off at locus , the fare is . female suspect states that she only has but will go inside the house to collect some more money . she leaves the comp with a of and her bank card as a . she enters locus and after 15 still has not returned to the taxi . complainant knocks on the door and the female the comp to enter the house . he refuses and leaves the police ."
877,Criminal Damage,complainant is a taxi driver and is given a fare to pick up and the address given is no at locus . the customers come from no and the taxi driver refuses to take them to their destination . one of the group start to kick his car causing a dent to his drivers door . he then leaves the scene .
878,Other Theft,"between times stated the complainant who is a taxi driver picked up the suspect as a fare and drove her to the requested address . the journey the suspect was abusive , drunk and aggressive . on of the journey she refused to make payment and to get out of the taxi . she continued to be abusive and refusing to get out so the complainant drove her to the police station . when officers to her she details and continued to be abusive and aggressive"
879,Other Theft,taxi driver waits on for female passenger to return with taxi fare . female does not return but 5 males approach car causing taxi driver to drive off with females .
880,Violent Crime,"between times and dates stated , this male in drink with her and punches her once to her left eye causing no injuries or . aggrieved makes an stop causing taxi behind to stop . aggrieved gets out of her car and runs to taxi driver for , during this time , unknown suspect gets out of the car and makes off behind on foot in an unknown direction ."
881,Violent Crime,"between date and times stated suspect is in taxi and an argument starts between suspect and taxi driver over paying the fare before location , suspect gets agitated and refuses to pay before for a from his pocket and the complainant stating that he is going to him , the at him , complainant drives vehicle to police station and suspect is arrested , complainant believes the threats to have been and is , and ."
882,Violent Crime,"between date and times stated suspect is in taxi and an argument starts between suspect and taxi driver over paying the fare before location , suspect gets agitated and refuses to pay before for a from his pocket and the complainant stating that he is going to him , the at him , complainant drives vehicle to police station and suspect is arrested , complainant believes the threats to have been and is , and ."
883,Criminal Damage,"on date and between times victim who is taxi driver has been driving suspects around before returning to the address where collected . suspects have refused to pay fare and gone inside the address . victim knocks at door and suspect returns kicking victims vehicle which has caused minor damage to front driver side wing , before returning back inside the address ."
884,Other Theft,on date at time victim who is taxi driver has been driving suspect around along with another female party to various locations before returning to the address where collected . suspect gets out of the vehicle having refused to pay fare and goes inside the address . victim knocks at door in an attempt to collect money for service but no payment is .
885,Other Theft,"comp is taxi driver who has collected a fare of 4 suspects from an address and taken them to leeds city centre . upon arrival in city centre at , comp is by suspect 2 who is sat behind him using around face his head and also his left , suspect 1 who is sat in front passenger then taken money out of pocket , and all 4 males make off on foot in direction of . comp contacts taxi company who him to contact police ."
886,Violent Crime,complainant is a taxi driver . during times stated complainant drops suspect off at locus on the that the suspect is returning to the taxi to be taken to another location . after minutes the suspect fails to return and the fare is still . the complainant contacts the mobile number that was used to the taxi that the fare is paid . the suspect then returns to the taxi in an aggressive and begins swearing at the driver . the driver requests the fare from the suspect . the suspect then demands that the taxi driver gets out of his vehicle and begins to remove an from the pocket of his top . in fear that he be assaulted the drives away from the locus but is followed by the suspect . the suspect continues with his demands for the to get out of the taxi . for his safety the aggrieved drives out of the area and contacts the police .
887,Criminal Damage,at time and date stated suspects have booked a taxi from the base to various locations around harehills prior to going to . taxi driver has stopped on street as requested and suspects have made off from vehicle without paying for the fare ( ∂ú10 ) . one of the suspects has left their mobile phone on the rear seat . one of the suspects has to get back to the taxi but the victim has driven off . suspect has then kicked out at the taxi causing damage to rear door . taxi has parked up nearby and called suspects have seen victim and to him into them . before walking off on street
888,Violent Crime,the victim is a taxi driver at and has collected a fare and taken the male of the vehicle to an address on arrival in the street the driver has asked for the fare and the male has got out of the car and returned with a of and hit the taxi driver and punched him causing swelling the left eye and has run off . leaving the taxi driver in a state and and .
889,Other Theft,"victim leaves phone in taxi . taxi driver leaves and when victim notices phone is missing tries to make contact , phone is turned off by suspects ."
890,Other Theft,"complainant taxi from outside leeds train station to his home address . complainant have any cash , taxi driver told complainant to leave his wallet with him whilst he went inside to get cash . complainant returned paid taxi fare and taxi driver returned his wallet . complainant contacted the day after by his bank who him that his bank card had been used 3 times at 3 different petrol in a . complainant then his bank card had been stolen from his wallet ."
891,Violent Crime,"between times stated , victim as a taxi driver and suspects with a home , is verbally by suspects who call him a and to him out , causing him to and ."
892,Other Theft,"victim is a taxi driver and picked up the suspect from booked in area via his . whilst on journey suspect is sick and refuses to pay for the fair or the of the taxi , when the victim the suspect he aggressive . the victim for his safety and drove off ."
893,Violent Crime,on at victim who is a taxi driver picks up the suspect who is in drink . suspect is verbally aggressive and as he gets out of the vehicle assaults the victim by him to the head area with his nose . the suspect then walks away from the area . he has no injuries .
894,Criminal Damage,"taxi is dropping two fares off at destination . the two fares to pay for the . upon the taxi driver asking for the , of the fares the door . upon the aggrieved calling the police , the fare to the but has to ."
895,Other Theft,victim states she is she left her in the taxi . she the firm away and was this been found . victim states taxi driver has stolen and cash inside .
896,Other Theft,victim who is a taxi driver picks up a fare from road and is asked to go to various places in before returning to road . male and female passenger then get out saying they have no money and go into house and tell victim to go round front . he knocks on the door but refuse to .
897,Other Theft,"victim leaves mobile phone in taxi . suspect is taxi driver and removes mobile , turns off same and having found the phone in the car ."
898,Criminal Damage,"during stated times complainant picks up two males from and at drop off point taxi driver asks for money , male passenger gives driver a ∂ú20 note which driver tells the passenger that he it is a note , an argument ensues and males alight the vehicle and both males kick both rear doors , damage caused to both rear passenger doors , suspects run off on foot"
899,Violent Crime,aggrieved is taxi driver who picks up passengers who are . at time stated the aggrieved asks passengers not to drink in his taxi to which the suspect verbally the aggrieved and then assaults the aggrieved causing injuries before making off on foot .
900,Other Theft,"victim is a taxi driver and the suspect is the customer the victim has picked up . the victim picks the suspect up from road , and takes him to locus . there the suspect goes into the address stating he will get the money for the fare . the suspect does not return . the victim knocks on the door and the suspects states he will not the door and is not going to pay ."
901,Violent Crime,victim is taxi driver working . he collects suspect s a fare and when dropping them at locus suspect punches victim to rear of head and both suspects then run from vehicle without paying the fare .
902,Violent Crime,"the complainant in this crime is taxi driver . at the time stated he arrives at the scene to collect a pre booked fair . the male suspect gets into the front passenger seat of the taxi and a female gets in the back . the suspect starts to get the seat and starts at it and getting and aggressive . the taxi driver informs the suspect that the seat is he will have to get the suspect another taxi . the suspect then get verbally abusive towards the taxi and shouting paki bastard , smash your fucking face , you are the suspect gets out of the taxi upon police arrival ."
903,Other Theft,between times stated aggrieved is in a taxi and believes phone from pocket . contacts taxi company away who has been found . believes taxi driver has stolen the phone and turned it off
904,Other Theft,"at time and date shown the victim who is a taxi driver has picked up suspects from and taken them to locus , at which point they have got out of his taxi , refusing to pay for the fare and have been seen going into locus"
905,Violent Crime,the victim is a taxi driver and the suspect the fare . when driving the suspect to her destination the suspect has become verbally aggressive towards the victim causing him and .
906,Violent Crime,"on date and between times stated victim down a black and white taxi from leeds city centre to locus . victim asks taxi driver to pull up at a cash machine , taxi driver pulls up outside the at . taxi driver then does not that the victim will pay so exits the vehicle and the rear of the vehicle and punches the victim to the face causing a nose and . the taxi driver then starts to drive the victim back to the centre of leeds . the asked to be taken to the police station as the taxi driver has just assaulted him and the taxi driver kicks him out near the on ring road . the taxi driver drives off and makes good his escape ."
907,Violent Crime,"complainant is a taxi driver who picks up the suspect and drives him the short distance to outside his home address . after over cost of fare , suspect pays fare and alights from the vehicle . complainant 's calls police and is told this was a matter . suspect goes to open drivers window , and punches driver to his nose , kicks the front passenger door causing at in same , then returns to the drivers window , through and removes the keys from the , causing to . police called again and both parties wait for police arrival ."
908,Violent Crime,victim is taxi driver and suspect is customer . victim attends at three in leeds to collect suspect as he had pre booked a taxi . suspect gets into victims vehicle and victim to drive towards suspects address . whilst to location suspect becomes verbally abusive towards victim making to and stating victim and he is a of his . victim arrives at location and suspect refuses to pay fare saying fuck off bastard . victim contacts the police and reports the incident .
909,Criminal Damage,complainant is a taxi driver and attends at the rear of the white pub to collect a fare booked in the name of . the suspect approached from a nearby street and gets into the taxi . a dispute begins and the suspect leaves the taxi and then uses a to to the driver 's door window before running away .
910,Other Theft,"comp is taxi driver who has picked up a fare . upon arriving at the destination , suspect gets out of vehicle and states to comp that he is going into the address to get the money . he has then turned around and stated he did n't have a to get in . when comp has asked what he is going to do , suspect has told comp to tell the police and off ."
911,Violent Crime,is a taxi driver and aggrieved is a passenger . at stated times suspect makes to the aggrieved stating you me to take my as another at the aggrieved causing the aggrieved and . police called .
912,Criminal Damage,victim is a taxi driver and attends at an address to pick up the suspect . suspect gets into the vehicle and victim notices that he is in . the victim states that he is not to transport the suspect due to the . suspect calls the victim a paki bastard and gets out of the vehicle . suspect pulls at the passenger side front door causing damage to the the door from . victim leaves the scene .
913,Criminal Damage,between the times stated the complainant who is a taxi driver picks up fare at locus . there is a over the cost of the journey . suspects refuse to leave vehicle when asked by complainant . complainant calls police and suspects exit taxi door . suspects then kick rear offside causing dent to same and rear offside causing same to . suspects make off . complainant continues before attending police station .
914,Other Theft,"aggrieved travelling in taxi when she had left property in vehicle . following a call to driver , it was agreed to return the phone for a payment . taxi driver did not with said phone ."
915,Criminal Damage,"at time stated taxi driver is at and is approached by a group of about who to open his car doors . they ask him to take them to and when he refuses they go round his car and break his rear offside and then make off on foot , he follows them towards hill but them in the area ."
916,Other Theft,"suspect is a taxi driver who drives victim home , stops outside while victim goes inside to get money to pay the fare . victim leaves property with suspect as , victim returns , pays driver and driver makes off with property"
917,Violent Crime,suspect is a taxi driver who collects fair from leeds city centre . whilst on route suspects become verbally abusive asking the driver if he is from . suspects then make to
918,Other Theft,complainant takes taxi from pub to home address . his fall out of bag and under front car seat of taxi . complainant gets out of taxi but leaves property under the seat and believed taxi driver removes this and makes off with same .
919,Violent Crime,"suspect is of the victim who is taxi driver . at time stated suspect is in the taxi when she becomes a by up on and puts up on . when victim asks her to stop suspect says to taxi driver all you 's are . victim is and is by this , which he to be racist on his ."
920,Violent Crime,"complainant is taxi driver who collects fare to transport to town , his pick up two males and a female . on route they become verbally abusive to the driver their where requested not to , they then inside the vehicle . on arrival in the town centre , all three passengers the driver . the female him over the head with a bottle . witness from nearby stop the and the suspects ."
921,Other Theft,aggrieved leaves phone in taxi phone is the turned off and taxi driver says it is no in the vehicle
922,Violent Crime,"at time complainant is working as a taxi driver when he is asked to collect a fare from , . complainant collects fare and transports male to locus . complainant asks for fare at which time suspect alights vehicle and walks away , complainant makes second request for fare at which time suspect makes threats of and racist towards complainant . complainant is by and is in fear for his safety . complainant drives away and reports matter to police ."
923,Other Theft,"comp is a taxi driver and picks up female suspect to take her to locus . on arrival suspect vehicle , making no attempt to pay for pay fare of and enters locus . comp has to on the door of locus , but suspect refusing to attend at the door ."
924,Violent Crime,"caller is taxi driver who picked up 5 people from , they were told that they pay time for over 4 people . when the two people got out of the taxi at locus they at the caller . the female got out of the taxi and caller down his window she him on his face . the male passenger kicked his door . they went into locus and never paid the fare ."
925,Robbery,"the aggrieved is a taxi driver and at time stated picks up the suspect . suspect asks the aggrieved to stop while he goes to get the money to pay . suspect into a for a few and then returns . suspect the aggrieved from the driver 's side window , which is open . suspect a knife from his and puts it close to the neck of the aggrieved . suspect then demands money and if this is not he threatens to the aggrieved in the neck . the aggrieved then to the window and the aggrieved pulls the knife away . then the window of the car with the knife , but there is n't any damage caused . the aggrieved drives off and the suspect runs away ."
926,Violent Crime,between times stated victim is a taxi driver and picks up the four suspects . victim requests payment for the fayre prior to arriving at the destination . suspects become aggressive and say fucking you you paki victim stops vehicle and suspects make off .
927,Violent Crime,comp who works as a taxi driver collects a fare . he then takes them to a nearby off licence who make various which the comp believes are of a racial and at him . comp is to be punched by one of the males . males get out of the taxi and make off
928,Violent Crime,"complainant is a taxi driver and suspect is a customer . an argument ensues and the suspect punches the aggrieved to the head and mouth . suspect also spits in the face of the aggrieved . suspect is by witnesses and makes off . suspect then returns while police are and about a work that he has left behind . suspect is arrested and the aggrieved has to his and a to the right side of his head ,"
929,Other Theft,victim is taxi driver for suspect who is believed to work at locus . between and stated victim attends drive to pick up suspect . suspect is by his friend and driven to locus . suspect refuses to pay fare of . suspect states to friend that victim is an which by victim to be racist . suspect enters locus and does not leave details making no attempt to pay . friend then pays victim .
930,Other Theft,at time stated suspect taxi driver complainant for mobile phone as payment security while victim gets money from cash point to pay for fare . in this time suspect driver makes off with comps phone in unseen direction .
931,Violent Crime,"between times stated victim is taxi driver with fair ( suspect ) is driving along locus when verbal argument ensues in vehicle resulting in suspect , is in drink the victim to his left cheek , causing no injury or pain to same . victim stops taxi and demands suspect exits which he does , police are then flagged down"
932,Violent Crime,"suspect is taxi driver and complainant is passenger . between times stated , complainant and take a taxi from , leeds to home address so that she could change her . the complainant then asks the taxi driver to drive them to the . complainant and on the route the driver is taking and so an argument takes place . when the complainant gets out of the taxi , the suspect says , the next time you get in my car by , i going to fuck you ."
933,Other Theft,in a taxi - when she got out and the taxi had left she had no phone - taxi driver makes off and all of the phone in his vehicle
934,Violent Crime,"complainant was getting out of a taxi when the taxi driver also got out and grabbed her bag , he then hits her in the face"
935,Other Theft,"customers of the taxi driver refuse to pay , verbally abuse caller and from the taxi once they have been dropped off ."
936,Other Theft,"complainant leaves her phone in a taxi when she goes to cash machine , taxi driver drives off with phone in back . no one has handed it in and is to an area in harehills so stolen"
937,Other Theft,"the suspect taxi driver takes comp and to locus from pub having put a number of in the boot of the taxi . on arrival at locus comp , and another friend took a number of into the house . believed suspect had another bag with his , there was property of comp . 's got in his taxi and drove away ."
938,Other Theft,at time stated complainant was getting out of taxi but left her handbag on back seat . she returned to taxi which was still there . taxi driver handed her her bag . property later found taken
939,Violent Crime,"comp is a taxi driver and a passenger does not pay fare , when he asks for the money the suspect slaps him once to the face , no injury caused , then walks away"
940,Other Theft,"on the times and date stated the complainant who is a taxi driver has collected the two suspects from a from . the complainant drives the suspects to their destination , the suspects get out of the taxi stating they need to get cash out from the cash point . the female suspect goes into a property and the male suspect returns to the car throws a the windscreen and shouts racially abusive to the complainant before running off . the complainant attends a police station the next day and reports the incident ."
941,Other Theft,complainant drops his phone in the taxi and can not it . he later his mobile phone to taxi drivers home address . he is to the drivers vehicle but does not find his phone . taxi driver stated he did not have it . complainant reports phone as now stolen .
942,Violent Crime,"at time date and location victim is a taxi driver and attended to pick up a fare . whilst there another person has to get into his taxi . he to them that was on the way to collect them . his fare , the suspect then demanding that he take the other person . it was to his fare that he could not . the male then said to the taxi driver are a paki bastard ∂® the male then got out of the taxi and kicked the door . no damage was caused . the suspect continued to call the victim a paki bastard as he drove off ."
943,Violent Crime,"complainant is a taxi driver and is parked the location waiting for a pre booked fare when the female walks and the driver to take her , when she has been refused by the driver she has become aggressive and swearing and shouting calling the driver a paki several times , kicks the nearside front wing but causes no damage to the vehicle , the driver gets out of the car to tell her to stop and she walks to the drivers side and kicks him in his right . walks off by two males who are not involved and come s back with a bottle in her hand , that she is going to hit him . she is taken away by the same two males and the driver drives off ."
944,Other Theft,complainant is drunk and uses phone to ring a taxi . complainant then gets into booked taxi in same location in leeds city centre a short while later . complainant is sick in taxi during journey and taxi driver asks for more money to of taxi . complainant asks taxi driver to stop at nearby petrol station so that she can get money from atm to cost . complainant phone is in the bag and her money is in a small in her bag with her card and drivers licence . complainant gets out of taxi with handbag open at atm however due to of hitting her head on the floor and out . a number of of public approach the female and down over the female to . the female is by to hospital however the following day that her mobile phone and money have been taken from her handbag however she still has her drivers licence and bank
945,Violent Crime,the victim is a taxi driver and the suspect the passenger . a fare is not agreed by the parties involved and the suspect punches the driver from behind and racist towards him .
946,Criminal Damage,at between times stated victim is driving his taxi with a male and female passenger . taxi driver gets into a dispute with female passenger and an altercation ensues . suspect then kicks the side window causing minor damage to the glass .
947,Violent Crime,at between times stated suspect is in the back of a taxi with a male . she the male of her phone . when the argue the taxi driver asks her to leave the taxi . suspect then slaps victim and spits at him calling him a paki .
948,Criminal Damage,"at times stated , the complainant who is a taxi driver collects the suspect who requests to be driven to various . the complainant with going to and states he will transport him to one or he wants him to leave the vehicle . whilst on locus , an argument ensues between the . the suspect then gets out of the vehicle and kicks the nearside wing mirror causing damage to the same . the suspect then makes off on foot as the complainant calls the police ."
949,Other Theft,"taxi driver picks up fare up from area , to be taken to leeds bradford , on route female driver of being on the road , female swearing at the taxi driver and the driver of her . caller said he would take her to police station whilst on route as he down on locus female gets out of taxi and makes off , female has not paid for taxi fare"
950,Violent Crime,"unknown suspect gets in taxi and argument ensues over payment up front . suspect agrees to be dropped off at to get cash . route , suspect victim taxi driver of and threatens to punch the victim . suspect then punches victim to back of neck , from . victim continues to drive and suspect exits taxi on approach , one stop shop without paying for taxi ."
951,Violent Crime,"during times stated victim and witnesses get a taxi to locus . on arrival at locus there is a over the taxi fare . the victim and witnesses get out of the taxi at which point the taxi driver down his window and shouts just watch now , i going to get all my bradford down to come and you . i know where you . the taxi then drives off and the victim contacts the police ."
952,Violent Crime,"victim is an taxi driver who is parked up in city centre waiting for fares . suspect approaches and in with victim and the fare . whilst in this dispute the suspect shouts racial abuse using as paki , paki , . the suspect is arrested for a racial public order offence ."
953,Robbery,"complainant is a taxi driver where he picks up one of the suspects and drives him to location . suspect is sat in the front passenger seat . on arriving at location the complainant sees that the suspect has a black knife in his back pocket . two other suspects approach the taxi and the suspect who is sat in the front seat of the taxi then begins to kick the left several times causing injury . the other two suspects then the complainant out of his car where they then begin to punch the complainant round the head several times . the suspect who was sat in the front passenger seat then a knife from his back pocket and uses the base of the to punch the complainant round the head . he then goes in to the car and property from his vehicle . all three suspects then run off in the direction towards ,"
954,Other Theft,"suspect is collected from at , and taken to street , taxi driver can not say what house number she goes into on that street , but she did not pay , just left her bank card and got out of the taxi . bank card is in name of , fare is for bank card booked into property ."
955,Criminal Damage,suspect is passenger in taxi . suspect is drunk and sick out of the window of the taxi . taxi driver then stops vehicle at locus . suspect then assaults taxi driver and on of taxi and kicks windscreen causing it to smash . suspect makes off .
956,Other Theft,"between times and dates stated victim leaves mobile phone in a taxi by , witness notices mobile phone and hands to the suspect who was the taxi driver . the taxi driver hold of the phone and removes the card . suspect then to it under the drivers seat of the vehicle and returns to his home address of it in to taxi rank . police attend and mobile phone located , suspect arrested ."
957,Other Theft,"the complainant who is a taxi driver picks up a fare from , leeds . two male suspects enter the taxi and in the rear . due to the not working the driver used his mobile phone to contact base and then places it on the front passenger seat . the 2 suspects are then dropped off in the middle of , leeds . the driver then goes to phone base again and his mobile phone missing ."
958,Other Theft,suspect is collected by taxi driver and taken to destination . on suspect states she needs to go from her . taxi driver suspect to go and waits minutes for suspect to return . suspect return and has off with making payment for the journey .
959,Other Theft,complainant is a taxi driver who picks up a fare from . he takes the male to the address in which he makes off without payment . he the taxi driver he makes off on foot .
960,Other Theft,"unknown suspect/s are in taxi , taxi has an , taxi driver believes he has set up as cash has been taken from his taxi , as taxi was details for suspect/s left taxi to unknown direction and all money from taxi has gone"
961,Violent Crime,"at time on date stated complainant who is a taxi driver asks the suspect to get out of his vehicle , the suspect refuses and becomes aggressive towards the complainant . the suspect is then gets out of the vehicle and punches the complainant to the side of the face , suspect also kicks the complainants vehicle before making off on foot ."
962,Violent Crime,"at times stated complainant who is a private hire taxi driver attends seacroft club , avenue and picks up two suspects and another male . the taxi was booked under the name . he is asked to drop them off at drive . during the taxi journey the two suspects the complainant for having a , ask him he is a and then then go on to both call him paki and in whilst asking him the journey will cost . the complainant this to be racist due to racist used . he drops the males off at this address and one of them knocks into car on getting out but unknown if due to drink . no damage caused . he sees them go inside and makes his of the racist incident and they in report it to police ."
963,Violent Crime,"victim is a taxi driver who has gone to collect a fare , upon his arrival he in the car and his window down and with the caller , who was in drink , the victim asked if he had for a taxi to which he stated for his friend who was in the , the taxi driver stated he could n't wait and the suspect verbally abusive towards him , the fare and got in the vehicle , the victim then a as if the suspect had kicked his vehicle or at it , the victim exits his vehicle when the suspect runs at the victim and a punch but he and the victim him and tries to the however the suspect as throws another punch and hits the victim to his left eye causing it to , suspect makes off on foot ."
964,Other Theft,suspect orders taxi for a return journey . once the taxi driver dropped the suspect off from where he was picked up from the suspect made off without paying .
